"tenant_code","organization_code","organization_id"
"default","temporg",20
"default","opcoTsfdYl",60
"default","tltwo",25
"default","opcoGBQqPC",63
"default","pride",82
"default","default_code",1
"default","org_code_2",2
"default","cat",15
"default","utorg",31
"default","opcocFNRhK",88
"default","utorgsix",33
"default","opcohfUEmh",79
"default","opcockcxin",87
"default","transferorg",26
"default","tl-org-off",94
"default","tl",24
"default","ewtoeclpxS",35
"default","HELLOGH",92
"default","opcohNikDo",48
"default","opcodLByrZ",53
"default","opcoVEFYpY",50
"default","opconEkjxB",77
"default","dst",14
"default","opcoXYSyxz",54
"default","opcoYAPjdk",61
"default","tl-org",93
"default","opcoUeAJZS",51
"default","sl",17
"default","champs",16
"default","opcoujMDKS",85
"default","ewtoVEuUHW",36
"default","opcoYjpNcx",84
"default","SHK100",89
"default","opcoiEmewJ",55
"default","opcoSdwICO",64
"default","gstars",19
"default","ap_toefl",37
"default","opcoJcebfC",40
"default","opcoeFFhsA",45
"default","opcoBTWFVe",65
"default","opcoULaGPn",74
"default","TESTTO",91
"default","opcoLdsxjo",52
"default","opcoTzDpVh",57
"default","opcocoFMpI",62
"default","test-temp-org",28
"default","opcollgvIo",46
"default","opcoYYqyjT",66
"default","opcoilhAsu",71
"default","opcovIrRWs",73
"default","opcokHvFVD",86
"default","sun",38
"default","temporgindef",21
"default","ewtoJLCWmq",34
"default","opcoChPkux",70
"default","opcoLVsxNH",39
"default","opcoxfYNMY",49
"default","venus",83
"default","opcoFEFTKr",43
"default","opcoGbZoVd",56
"default","utorgtwo",32
"default","opconrbYds",47
"default","bbbtestorg",27
"default","TESTGG",95
"default","opcoAheDam",58
"default","opcomajBKX",41
"default","opcoJuzMeo",42
"default","orgChange",23
"default","test-temp-org--del",30
"default","opcojGEGUc",76
"default","earth",81
"default","moon",80
"default","SHK100JP",90
"default","temporgindefff",22
"default","opcosPEBxk",59
"default","opcoCKhdIL",72
"default","test-temp-org-1",29
"default","opcoKPUsBR",69
"default","opcoHjhGSb",78
"default","dstTwo",18
"default","opcoywKMaT",44
"default","opcoPbsqEc",67
"default","opcoLzilEf",68
"default","opcotTJvvT",75
"default","org_code_7",7
"default","org_code_8",8
"default","org_code_9",9
"default","org_code_10",10
"default","org_code_13",13